SYMBOL,COMPANY,NSE_COMPANY_NAME,SERIES,PURPOSE,FACE_VALUE,EX_DATE,RECORD_DATE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
GLENMARK,Glenmark Pharmaceuticals,Glenmark Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend - Rs 2/- Per Share,1,2017-09-20,,2017-09-22,2017-09-29,,
GRANULES,Granules India,Granules India Limited,EQ,Annual General Meeting/Dividend - Re 0.25 Per Share (Book Closure Dates Revised),1,2017-09-20,,2017-09-22,2017-09-28,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Annual General Meeting,2,2017-09-20,,2017-09-22,2017-09-28,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend Re 0.25 Per Share,1,2017-11-20,2017-11-21,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend Rs 1.50 Per Share,1,2017-11-21,2017-11-22,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Rights 1:23 @ Premium Rs 2378/-,2,2018-01-31,2018-02-01,,,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend Rs 7/- Per Share,2,2018-02-15,2018-02-17,,,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Interim Dividend Rs 9/- Per Share (Purpose Revised),5,2018-02-15,2018-02-19,,,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Interim Dividend - Rs 6 Per Share (Purpose Revised),2,2018-02-16,2018-02-20,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Interim Dividend Re 1/- Per Share,1,2018-02-20,2018-02-21,,,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend Re 0.25 Per Share,1,2018-02-20,2018-02-21,,,,
STAR,Strides Pharma Science,Strides Pharma Science Limited,EQ,Scheme Of Arrangement,10,2018-04-06,2018-04-09,,,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Annual General Meeting/ Dividend - Rs 53 Per Share,10,2018-04-26,,2018-05-01,2018-05-08,,
TORNTPHARM,Torrent Pharmaceuticals,Torrent Pharmaceuticals Limited,EQ,Dividend- Rs 5 Per Share,5,2018-06-18,,2018-06-20,2018-06-22,,
AJANTPHARM,Ajanta Pharma,Ajanta Pharma Limited,EQ,Annual General Meeting,2,2018-06-26,,2018-06-28,2018-07-05,,
LAURUSLABS,Laurus Labs,Laurus Labs Limited,EQ,Annual General Meeting / Dividend- Rs 1.50 Per Share,2,2018-06-28,,2018-07-02,2018-07-05,,
ABBOTINDIA,Abbott India,Abbott India Limited,EQ,Annual General Meeting / Final Dividend- Rs 50 Per Share / Special Dividend- Rs 5 Per Share,10,2018-07-10,,2018-07-12,2018-07-18,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Dividend- Rs 35 Per Share,10,2018-07-13,,2018-07-17,2018-07-24,,
DRREDDY,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,EQ,Annual General Meeting/Dividend- Rs 20 Per Share,1,2018-07-16,,2018-07-18,2018-07-20,,
APLLTD,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,EQ,Annual General Meeting/Dividend- Rs 4 Per Share (Purpose Revised),2,2018-07-18,,2018-07-20,2018-07-27,,
BIOCON,Biocon,Biocon Limited,EQ,Dividend- Re 1 Per Share,5,2018-07-19,2018-07-20,,,,
PEL,Piramal Enterprises,Piramal Enterprises Limited,EQ,Dividend- Rs 25 Per Share,2,2018-07-19,,2018-07-23,2018-07-30,,
WOCKPHARMA,Wockhardt,Wockhardt Limited,EQ,Annual General Meeting,5,2018-07-25,,2018-07-27,2018-08-04,,
LUPIN,Lupin,Lupin Limited,EQ,Annual General Meeting/Dividend Rs 5/- Per Share,2,2018-07-30,,2018-08-01,2018-08-08,,
ZYDUSLIFE,Zydus Lifesciences,Zydus Lifesciences Limited,EQ,Annual General Meeting/Dividend- Rs 3.50 Per Share (Purpose Revised),1,2018-07-31,,2018-08-02,2018-08-13,,
GRANULES,Granules India,Granules India Limited,EQ,Interim Dividend- Re 0.25 Per Share,1,2018-08-01,2018-08-02,,,,
IPCALAB,IPCA Laboratories,IPCA Laboratories Limited,EQ,Annual General Meeting/Dividend- Re 1 Per Share,1,2018-08-02,,2018-08-04,2018-08-09,,
SANOFI,Sanofi India,Sanofi India Limited,EQ,Interim  Dividend -Rs 18 Per Share,10,2018-08-06,2018-08-07,,,,
CIPLA,Cipla,Cipla Limited,EQ,Annual General Meeting/Dividend- Rs 3 Per Share,2,2018-08-13,,2018-08-16,2018-08-30,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Interim Dividend- Rs 1.50 Per Share,2,2018-08-20,2018-08-21,,,,
AUROPHARMA,Aurobindo Pharma,Aurobindo Pharma Limited,EQ,Annual General Meeting,1,2018-08-21,,2018-08-24,2018-08-30,,
ALKEM,Alkem Laboratories,Alkem Laboratories Limited,EQ,Annual General Meeting/Dividend- Rs 7 Per Share,2,2018-08-23,2018-08-24,,,,
JBCHEPHARM,JB Chemicals & Pharmaceuticals,JB Chemicals & Pharmaceuticals Limited,EQ,Dividend Rs 2/- Per Share,1,2018-08-27,,2018-08-29,2018-09-04,,
GRANULES,Granules India,Granules India Limited,EQ,Annual General Meeting/Dividend- Re 0.25 Per Share,1,2018-08-29,,2018-08-31,2018-09-06,,
PFIZER,Pfizer,Pfizer Limited,EQ,Annual General Meeting/Dividend- Rs 20 Per Share,10,2018-08-29,,2018-08-31,2018-09-06,,
DIVISLAB,Divi's Laboratories,Divi's Laboratories Limited,EQ,Annual General Meeting/Dividend- Rs 10 Per Share,2,2018-08-31,,2018-09-04,2018-09-10,,
NATCOPHARM,Natco Pharma,Natco Pharma Limited,EQ,Annual General Meeting,2,2018-09-10,,2018-09-12,2018-09-15,,
GLAXO,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,EQ,Bonus 1:1,10,2018-09-11,2018-09-13,,,,
