LEDGER_ID,SOURCE_ROW_NUMBER,EX_DATE,RECORD_DATE,COMPANY_ID,SYMBOL,PRICE_SYMBOL,SERIES,PURPOSE,PURPOSE_NORMALIZED,ACTION_TAGS,PRIMARY_CLASS,TREATMENT_CODE,RESEARCH_RELEVANCE,STRUCTURAL_BREAK_FLAG,SPECIAL_DIVIDEND_FLAG,AUTO_TERMS_READY,MANUAL_REVIEW_REQUIRED,REVIEW_REASON,DIVIDEND_RUPEES_PER_SHARE,DIVIDEND_PARSE_STATUS,BONUS_NEW_SHARES,BONUS_EXISTING_SHARES,BONUS_SHARE_MULTIPLIER,BONUS_PARSE_STATUS,SPLIT_OLD_FACE_VALUE,SPLIT_NEW_FACE_VALUE,SPLIT_SHARE_MULTIPLIER,SPLIT_PARSE_STATUS,RIGHTS_NEW_SHARES,RIGHTS_EXISTING_SHARES,RIGHTS_RATIO_PARSE_STATUS,EQ_PRICE_ON_EX_DATE,EQ_CLOSE_ON_EX_DATE,COMPANY,NSE_COMPANY_NAME,FACE_VALUE,BOOK_CLOSURE_START,BOOK_CLOSURE_END,PAYMENT_DATE,REMARKS
CA0093,93,2018-07-13,,GLAXO,GLAXO,GLAXO,EQ,Dividend- Rs 35 Per Share,DIVIDEND- RS 35 PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,35.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,2847.05,GlaxoSmithKline Pharmaceuticals,GlaxoSmithKline Pharmaceuticals Limited,10,2018-07-17,2018-07-24,,
CA0094,94,2018-07-16,,DRREDDY,DRREDDY,DRREDDY,EQ,Annual General Meeting/Dividend- Rs 20 Per Share,ANNUAL GENERAL MEETING/DIVIDEND- RS 20 PER SHARE,AGM;DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,20.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,2093.95,Dr. Reddy's Laboratories,Dr. Reddy's Laboratories Limited,1,2018-07-18,2018-07-20,,
CA0095,95,2018-07-18,,APLLTD,APLLTD,APLLTD,EQ,Annual General Meeting/Dividend- Rs 4 Per Share (Purpose Revised),ANNUAL GENERAL MEETING/DIVIDEND- RS 4 PER SHARE (PURPOSE REVISED),AGM;DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,4.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,517.05,Alembic Pharmaceuticals,Alembic Pharmaceuticals Limited,2,2018-07-20,2018-07-27,,
CA0096,96,2018-07-19,2018-07-20,BIOCON,BIOCON,BIOCON,EQ,Dividend- Re 1 Per Share,DIVIDEND- RE 1 PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,1.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,572.1,Biocon,Biocon Limited,5,,,,
CA0097,97,2018-07-19,,PEL,PEL,PEL,EQ,Dividend- Rs 25 Per Share,DIVIDEND- RS 25 PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,25.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,2525.15,Piramal Enterprises,Piramal Enterprises Limited,2,2018-07-23,2018-07-30,,
CA0098,98,2018-07-25,,WOCKPHARMA,WOCKPHARMA,WOCKPHARMA,EQ,Annual General Meeting,ANNUAL GENERAL MEETING,AGM,ADMIN_ONLY,NO_PRICE_OR_TOTAL_RETURN_ADJUSTMENT,EQ_SERIES,False,False,False,False,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,575.3,Wockhardt,Wockhardt Limited,5,2018-07-27,2018-08-04,,
CA0099,99,2018-07-30,,LUPIN,LUPIN,LUPIN,EQ,Annual General Meeting/Dividend Rs 5/- Per Share,ANNUAL GENERAL MEETING/DIVIDEND RS 5/- PER SHARE,AGM;DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,5.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,820.1,Lupin,Lupin Limited,2,2018-08-01,2018-08-08,,
CA0100,100,2018-07-31,,ZYDUS,ZYDUSLIFE,CADILAHC,EQ,Annual General Meeting/Dividend- Rs 3.50 Per Share (Purpose Revised),ANNUAL GENERAL MEETING/DIVIDEND- RS 3.50 PER SHARE (PURPOSE REVISED),AGM;DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,3.5,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,381.45,Zydus Lifesciences,Zydus Lifesciences Limited,1,2018-08-02,2018-08-13,,
CA0101,101,2018-08-01,2018-08-02,GRANULES,GRANULES,GRANULES,EQ,Interim Dividend- Re 0.25 Per Share,INTERIM DIVIDEND- RE 0.25 PER SHARE,DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,0.25,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,102.1,Granules India,Granules India Limited,1,,,,
CA0102,102,2018-08-02,,IPCALAB,IPCALAB,IPCALAB,EQ,Annual General Meeting/Dividend- Re 1 Per Share,ANNUAL GENERAL MEETING/DIVIDEND- RE 1 PER SHARE,AGM;DIVIDEND,CASH_DIVIDEND,LATER_INCLUDE_CASH_DIVIDEND_IN_TOTAL_RETURN,EQ_SERIES,False,False,True,False,,1.0,PARSED,,,,NOT_APPLICABLE,,,,NOT_APPLICABLE,,,NOT_APPLICABLE,True,756.25,IPCA Laboratories,IPCA Laboratories Limited,1,2018-08-04,2018-08-09,,
