COST_MULTIPLIER,DATE,NAV_START,GROSS_PNL,TRANSACTION_COST,FINANCING_COST,TOTAL_COST,NAV_END,DAILY_RETURN,OPEN_PAIRS_EOD,LONG_EXPOSURE,SHORT_EXPOSURE,GROSS_EXPOSURE,NET_EXPOSURE,GROSS_EXPOSURE_TO_NAV,NET_EXPOSURE_TO_NAV,TURNOVER_VALUE,TURNOVER_TO_NAV
0.0,2021-06-10,1.0200352360290637,0.002699978592905377,0.0,0.0,0.0,1.022735214621969,0.002646946397083516,1,0.16744314903376892,0.12087460637640245,0.28831775541017135,0.04656854265736647,0.2819085050442323,0.045533332568957724,0.0,0.0
0.0,2021-06-11,1.022735214621969,0.0010185425910839792,0.0,0.0,0.0,1.023753757213053,0.000995900577707598,1,0.1686141620349143,0.12102707678646384,0.28964123882137816,0.04758708524845047,0.282920806669236,0.046482940759109845,0.0,0.0
0.0,2021-06-14,1.023753757213053,0.009560611317942372,0.0,0.0,0.0,1.0333143685309953,0.009338780200395913,1,0.17446629950813797,0.11731860294174513,0.2917849024498831,0.05714769656639283,0.2823776687289244,0.055305237502539024,0.0,0.0
0.0,2021-06-15,1.0333143685309953,-0.0024406072277380533,0.0,0.0,0.0,1.0308737613032573,-0.0023619213107505255,1,0.1714158106401544,0.11670872130149963,0.28812453194165405,0.05470708933865477,0.2794954559493294,0.053068660191227156,0.0,0.0
0.0,2021-06-16,1.0308737613032573,-0.0012483889823289122,0.0,0.0,0.0,1.0296253723209283,-0.0012110008317125498,1,0.16922308879550982,0.11576438843918395,0.28498747723469375,0.05345870035632587,0.2767875432132074,0.05192053517078938,0.0,0.0
0.0,2021-06-17,1.0296253723209283,0.005994925051032898,0.0,0.0,0.0,1.0356202973719613,0.0058224332968013215,1,0.17383102495501662,0.11437739954765785,0.2882084245026745,0.05945362540735877,0.27829545754756424,0.057408710082480115,0.0,0.0
0.0,2021-06-18,1.0356202973719613,-0.00260392478881991,0.0,0.0,0.0,1.0330163725831414,-0.0025143624506276385,1,0.17052376891978452,0.11367406830124568,0.2841978372210302,0.056849700618538834,0.27511455264776724,0.055032719836164395,0.0,0.0
0.0,2021-06-21,1.0330163725831414,0.0012423993618007382,0.0,0.0,0.0,1.034258771944942,0.0012026908718725249,1,0.17185961788775195,0.11376751790741234,0.2856271357951643,0.05809209998033961,0.2761660268619597,0.05616785813776216,0.0,0.0
0.0,2021-06-22,1.034258771944942,3.1675057736076415e-05,0.0,0.0,0.0,1.0342904470026781,3.0625853601806696e-05,1,0.17212737616106696,0.11400360112299128,0.28613097728405823,0.058123775038075684,0.27664470663269825,0.05619676291753005,0.0,0.0
0.0,2021-06-23,1.0342904470026781,-0.0008078633791290279,0.0,0.0,0.0,1.033482583623549,-0.0007810798035216004,1,0.17087685675272749,0.11356094509378084,0.28443780184650835,0.057315911658946644,0.2752226368916887,0.055459001019628446,0.0,0.0
0.0,2021-06-24,1.033482583623549,0.0003681254080537635,0.0,0.0,0.0,1.033850709031603,0.00035619894702354493,1,0.16979405406503587,0.11211001699803545,0.2819040710630713,0.05768403706700041,0.27267386731990334,0.05579532573037788,0.0,0.0
0.0,2021-06-25,1.033850709031603,-0.0011884497085645775,0.0,0.0,0.0,1.0326622593230383,-0.0011495370638936464,1,0.16984995963858512,0.11335437228014929,0.2832043319187344,0.056495587358435836,0.27424681144480767,0.05470867831992961,0.0,0.0
